col_a,col_b,col_c,col_d,col_e,value_a
cfk,nuw,ywq,dau,wir,100.0
nff,dzp,qwv,tkm,rdq,100.0
nux,ftr,tlh,tgu,nak,100.0
ggb,yqr,bok,uwf,kqj,100.0
nsb,est,rgo,wqb,rcv,100.0
lrk,vzt,xcm,tji,nop,100.0
ztt,tuu,jbd,gah,vxm,100.0
ynv,dmk,dnx,elp,fbm,100.0
yqk,umd,nef,pya,goq,100.0
tai,bjt,kqh,amq,hub,100.0
xnb,lga,dcy,twt,rtz,100.0
djw,ula,vbo,krw,gcn,100.0
kcx,lbr,ypj,xtw,ghd,100.0
dkk,gwg,xlb,vth,qiz,100.0
fvi,vma,fxy,eak,veh,100.0
myq,wdj,cpd,sug,sok,100.0
oro,maz,dqi,vah,ipf,100.0
iuq,mnv,cel,ggh,yss,100.0
ljb,tcb,rjw,dwe,zfu,100.0
cbl,hsv,jjk,wwd,mfd,100.0
vrs,wbs,acw,grf,tst,100.0
slk,wyu,hld,zae,ewk,100.0
wof,fpz,pnx,iqa,fcp,100.0
yek,fya,vlf,uvz,rbe,100.0
iqu,muq,tcu,bhz,ndi,100.0
kdj,cbr,gzv,xia,yvo,100.0
yva,lfo,dor,jqc,rqi,100.0
hvp,sqi,tpq,eku,hvt,100.0
thj,lot,gdn,tue,oyo,100.0
ctj,seb,hel,lzz,lgn,100.0
fee,gpd,uys,qxe,qar,100.0
wmx,cbw,dzd,lip,lwh,100.0
pch,ime,xem,pct,srk,100.0
alp,izd,msd,zen,mvy,100.0
loh,jeb,rcf,oae,irs,100.0
jmo,tmo,ouy,jak,pem,100.0
ujz,xtj,zbt,vkw,tis,100.0
jfh,vpd,lxc,tei,gfq,100.0
wnx,kjr,mad,xfr,pfe,100.0
pbw,qlo,ykz,qzb,oak,100.0
rzf,odw,rit,fmu,mah,100.0
qsd,aeg,xwg,wro,oov,100.0
ssm,zwl,gqu,exu,jro,100.0
whe,bmw,zxg,qou,hpx,100.0
ggv,pbd,haw,rvx,wwo,100.0
ywr,kbs,gwj,dfd,nkq,100.0
pvw,wme,vua,qat,odo,100.0
znb,kfw,qbx,oai,czf,100.0
qzb,hkn,rak,mpt,nqj,100.0
ocr,cac,vob,duh,hlv,100.0
hsl,euv,fsy,csb,fjs,100.0
pmc,rdf,tym,obz,acn,100.0
qwi,jum,wty,nxx,xbq,100.0
qbl,ujy,trw,ptt,nsj,100.0
hve,wut,zjv,vvc,kgl,100.0
bqt,dkj,hbf,imx,wzx,100.0
qou,nlx,bdp,zpi,wqc,100.0
ffx,loj,pur,wyf,wza,100.0
gko,mld,rwj,xba,klr,100.0
tou,mik,lsg,yfo,cox,100.0
slm,uov,jqq,dgi,ofv,100.0
srz,axb,pwk,dre,kuz,100.0
cnq,osu,lqa,oru,szm,100.0
ihx,hzv,etm,lhc,led,100.0
vsg,sie,qjh,hsm,beq,100.0
yyc,tvl,vat,qld,otl,100.0
ozu,vkf,yhj,iet,dik,100.0
qmi,kbf,rko,yxj,jqo,100.0
osc,tzj,ysb,hiq,plp,100.0
ndv,mcg,gtd,nsq,djr,100.0
orj,ntu,enm,ese,amo,100.0
eex,amx,sxf,jqs,xxr,100.0
cht,xxb,omh,pdb,zjv,100.0
tzi,mjh,qcm,mnm,xhh,100.0
lfe,ncx,edv,psz,ltc,100.0
ruo,oon,trd,vfu,ihl,100.0
cju,kby,vvm,omd,fqa,100.0
nbd,vjf,tdr,bks,pdc,100.0
fvt,btt,vdn,bhv,nbb,100.0
xvd,yfd,ogp,rud,gya,100.0
rfb,qmv,vat,ubo,drp,100.0
fgo,gpr,epv,utc,pmp,100.0
ssl,mma,apu,mhe,tdv,100.0
wnf,ouz,ddw,tnz,zbz,100.0
roa,ixn,ism,fsc,bfz,100.0
nfi,pyj,jip,bbv,ghi,100.0
brb,tqj,hwi,mha,yob,100.0
ack,xhi,bew,siu,qdd,100.0
ced,mgj,wtw,sce,nyh,100.0
iqk,xpc,ycy,xkb,rzx,100.0
fgm,rjw,tuh,zzw,pma,100.0
zpa,hml,zil,ibb,ukj,100.0
oie,ovd,ret,wgp,kfv,100.0
fuw,dbz,aim,hmk,mze,100.0
uaq,ygu,tfw,nnk,myj,100.0
owl,amm,gyv,sgh,ecr,100.0
rcz,fbh,smc,vsi,kqg,100.0
mnj,meo,lrf,yde,xly,100.0
mxd,dby,mtb,fgd,hbm,100.0
hgr,mhn,ccs,fkn,mmy,100.0
